GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Consul-Vault Maven Plugin,com.github.fedyafed,ReadConsulMojo,37,440,5,19,11,89,11,21,6,14
Consul-Vault Maven Plugin,com.github.fedyafed.generated,HelpMojo,334,559,59,51,53,106,41,30,2,14
